code,label,lng,lat,gend,northing,population,households,populationDensity,lgb1,lgb2,lgb3,lgb4,lgb5,lgb6,lgb7
E06000001,Hartlepool,-1.2555,54.6688,8615,530661,92334,40930,985.5,645,666,344,222,126,42,18
E06000002,Middlesbrough,-1.2228,54.5426,15460,516653,143922,60262,2671.2,1213,1147,612,339,206,79,21
E06000003,Redcar and Cleveland,-1.0215,54.5535,11600,518023,136536,61636,557.1,735,837,489,310,227,105,32
E06000004,Stockton-on-Tees,-1.329,54.5625,110,518785,196594,83757,959.3,1057,1408,749,460,273,112,21
E06000005,Darlington,-1.5527,54.5488,485,517147,107807,48918,545.9,660,830,494,280,191,59,32
E06000006,Halton,-2.72,53.3438,14705,383230,128475,55951,1624.3,779,872,509,318,187,62,14
E06000007,Warrington,-2.5628,53.3985,80,389223,210969,90538,1168,1207,1412,750,523,318,104,37
E06000008,Blackburn with Darwen,-2.4671,53.6922,585,421850,154735,58767,1129.4,643,720,463,338,224,100,31
E06000009,Blackpool,-3.0355,53.8175,14255,436188,141033,64789,4041.1,989,1228,972,1034,958,376,136
E06000010,Kingston upon Hull,-0.3364,53.7601,40,430588,267010,115472,3730.1,2708,2669,1215,779,474,169,42
E06000011,East Riding of Yorkshire,-0.4822,53.868,560,442365,342217,152066,142.4,1587,1514,922,839,570,250,97
E06000012,North East Lincolnshire,-0.1339,53.544,17175,406881,156966,69826,815,1001,935,559,399,248,95,29
E06000013,North Lincolnshire,-0.5921,53.5943,50,411782,169674,73173,200.4,919,972,611,377,230,99,30
E06000014,York,-1.0606,53.9586,735,451799,202821,85459,745.8,4813,2169,1148,651,446,256,69
E06000015,Derby,-1.4683,52.9128,19225,335169,261354,105652,3349.5,2320,1968,1157,649,396,183,63
E06000016,Leicester,-1.1276,52.6383,45,304861,368569,127387,5027.2,3785,2506,1622,1085,611,287,118
E06000017,Rutland,-0.6541,52.6607,950,307844,41050,16694,107.5,194,199,111,113,85,33,9
E06000018,Nottingham,-1.1759,52.9612,16145,340739,323627,124745,4337.6,5718,3373,1682,1110,701,247,98
E06000019,Herefordshire,-2.7457,52.1038,40,245285,187039,82827,85.8,925,894,545,469,346,183,65
E06000020,Telford and Wrekin,-2.4885,52.7302,990,314837,185523,76510,639.1,1183,1316,709,489,263,118,30
E06000021,Stoke-on-Trent,-2.1652,53.0176,13315,346716,258375,110399,2764.8,2237,1825,1107,646,414,151,38
E06000022,Bath and North East Somerset,-2.4744,51.3561,30,162001,193406,79250,559.2,3141,1439,726,488,401,166,91
E06000023,Bristol,-2.7702,51.4526,1235,172919,472462,191638,4308.1,8210,8297,3544,1867,1107,484,144
E06000024,North Somerset,-2.8,51.3892,16885,165882,216727,94648,579.9,1287,1261,814,625,439,203,79
E06000025,South Gloucestershire,-2.4712,51.5474,140,183263,290423,118101,584.3,2155,2192,1077,677,388,151,60
E06000026,Plymouth,-4.1202,50.3912,880,56735,264693,114558,3314.8,3741,2742,1495,881,540,239,92
E06000027,Torbay,-3.5305,50.4408,23665,61223,139324,62992,2215.6,868,839,570,565,472,275,88
E06000030,Swindon,-1.7443,51.5713,150,185857,233414,95862,1014.4,1350,1623,1045,724,408,143,41
E06000031,Peterborough,-0.2538,52.6085,1240,302621,215676,84533,628.1,1123,1438,1026,540,293,100,46
E06000032,Luton,-0.4245,51.8943,24035,222915,225259,78940,5196,947,1175,906,498,263,91,47
E06000033,Southend-on-Sea,0.729,51.5376,95,185610,180685,78344,4335.6,1208,1365,909,637,377,170,60
E06000034,Thurrock,0.3741,51.506,890,181237,175997,66377,1074.2,718,839,588,348,153,60,21
E06000035,Medway,0.57,51.4257,25010,172759,279771,111458,1444.2,1763,1817,1088,828,469,155,57
E06000036,Bracknell Forest,-0.7399,51.4078,95,168395,124600,50248,1139.2,695,789,499,361,174,71,28
E06000037,West Berkshire,-1.3049,51.4497,1005,172535,161447,66658,229.3,899,857,502,394,249,88,31
E06000038,Reading,-0.9848,51.4532,25540,173186,174235,67683,4312.6,1895,1858,977,630,334,134,62
E06000039,Slough,-0.5868,51.5082,65,179746,158498,52423,4871.5,479,638,585,326,190,70,25
E06000040,Windsor and Maidenhead,-0.699,51.4851,1135,177040,153495,60932,781.1,702,748,549,441,263,104,44
E06000041,Wokingham,-0.8841,51.4293,19950,170613,177499,69164,991.7,1055,865,548,396,190,71,20
E06000042,Milton Keynes,-0.7335,52.0843,35,243629,287057,113102,930.1,1629,1986,1337,742,434,162,47
E06000043,Brighton and Hove,-0.1321,50.8433,1065,106526,277107,121402,3345.3,6690,5829,4315,4242,2683,1086,403
E06000044,Portsmouth,-1.0785,50.8207,14945,102752,208002,86155,5149.8,3049,2191,1205,775,475,183,62
E06000045,Southampton,-1.3986,50.917,25,113232,248912,102291,4990.5,4019,2909,1426,866,543,246,76
E06000046,Isle of Wight,-1.2969,50.6757,1170,86461,140460,64775,370,823,833,488,468,385,195,88
E06000047,County Durham,-1.8391,54.6954,9480,533389,522062,234761,234.5,4634,3375,1876,1182,848,351,105
E06000049,Cheshire East,-2.349,53.1806,80,364874,398771,174856,341.9,2021,2470,1440,1104,704,257,106
E06000050,Cheshire West and Chester,-2.7362,53.2001,410,367257,357150,155156,388.2,2580,2345,1443,940,649,282,75
E06000051,Shropshire,-2.7341,52.6358,12690,304422,323608,139579,101.2,1606,1742,1081,867,606,319,94
E06000052,Cornwall,-4.8252,50.4056,85,59975,570304,250535,160.9,4429,3488,2146,1759,1389,691,235
E06000053,Isles of Scilly,-6.2988,49.9207,575,11139,2058,942,125.9,11,14,10,6,3,2,1
E06000054,Wiltshire,-1.9451,51.2973,12625,155301,510336,215081,156.8,3034,2940,1668,1342,924,367,178
E06000055,Bedford,-0.4766,52.1893,65,255656,185228,74950,388.8,1040,1135,815,564,278,117,54
E06000056,Central Bedfordshire,-0.4363,52.0067,515,235392,294251,120755,411.2,1420,1685,1025,690,420,169,51
E06000057,Northumberland,-2.0653,55.2427,14115,594161,320565,146922,63.9,1535,1736,1027,758,606,272,94
E06000058,Bournemouth Christchurch and Poole,-1.8829,50.7467,45,94131,400192,173842,2469.2,4280,3161,1983,1546,1175,601,327
E06000059,Dorset,-2.3336,50.806,530,100771,379578,169261,152.4,1834,1691,1007,1078,812,464,193
E06000060,Buckinghamshire,-0.8121,51.7852,14225,210241,553081,220328,353.4,2670,2796,1841,1300,708,250,120
E06000061,North Northamptonshire,-0.6263,52.4251,40,281667,359525,148918,364.4,1954,2123,1318,909,526,207,75
E06000062,West Northamptonshire,-1.0364,52.223,600,258722,425726,172641,309.1,2741,2754,1668,1249,693,239,86
